Ce fichier est le lexique associé aux pictogrammes. 
Chaque pictogramme est rangé dans une catégorie, par thème/sujet. 
Chaque thème possède un numéro. Tous les pictogrammes appartenant à ce sujet sont numérotés dans un ordre croissant, précédés par le numéro correspondant à leur catégorie. 
Ex :	Le thème A a pour numéro 15.
	Tous les pictogrammes du thème A sont numérotés ainsi : 151, 152, 153, ... 1510... 1530...
Les catégories Background et Time ont leur propre numérotation (respectivement bg1, bg2... et T1, T2 ...)




BG	BACKGROUND
BG2	ecole
BG3	maison
BG4	parc
BG5	chambre

T	TIME
T1	matin
T2	midi
T3	après-midi
T4	nuit 
T5	dans une semaine
T6	demain
T7	hier 
72	père[ENT='père', anim=oui]
73	mère[ENT='mère, anim=oui]
74	??
75	frère-et-soeur[ENT='frère_soeur', anim=oui]
76	grands-parents[ENT='grands_parents', anim=oui]
77	grand-père[ENT='grand_pere', anim=oui]
78	grand-mère[ENT='grand_mere', anim=oui]

8	VEHICULES
81	avion[ENT=’avion’, anim=non|PRED='prendre_l_avion<Px,(Py)>,Px[anim=oui],Py[anim=non]]
82	bus[ENT=’bus’, anim=non|PRED='prendre_le_bus<Px,(Py)>,Px[anim=oui],Py[anim=non]]
83	moto[ENT=’moto’, anim=non|PRED='faire_de_la_moto<Px,(Py)>,Px[anim=oui],Py[anim=non]]
84	train[ENT=’train’, anim=non|PRED='prendre_le_train<Px,(Py)>,Px[anim=oui],Py[anim=non]]
85	trotinette[ENT=’trotinette’, anim=non|PRED='faire_de_la_trotinette<Px,(Py)>,Px[anim=oui],Py[anim=non]]
86	vélo[ENT=’vélo’, anim=non|PRED='faire_du_vélo<Px,(Py)>,Px[anim=oui],Py[anim=non]]
87	voiture[ENT='voiture’, anim=non|PRED='prendre_la_voiture<Px,(Py)>,Px[anim=oui],Py[anim=non]]

9	METEO/TEMPERATURE
91	chaud[PRED='être_chaud<Px>|PRED'faire_chaud']
92	froid[PRED='être_froid<Px>|PRED'faire_froid']
93	neige[PRED='neige']
94	orage[PRED='orage']
95	nuageux[PRED='nuageux']
96	pluie[PRED='pleuvoir']

10	perso
101	petite_fille[PRED'etre_une_petite_fille<Px>', Px[anim=oui]]
102	femme[PRED'etre_une_femme<Px>', Px[anim=oui]]
103	bébé[PRED'etre_une_bébé<Px>', Px[anim=oui]]
104	garçon[PRED'etre_un_garçon<Px>', Px[anim=oui]]
105	femme[PRED'etre_un_homme<Px>', Px[anim=oui]]

11	HABITS/ACCESSOIRES
111	baskets[ENT=’baskets’, anim=non]
112	sac_à_dos[ENT=’sac_à_dos’, anim=non]
113	parapluie[ENT=’parapluie’, anim=non]
114	chaussons[ENT=’chaussons’, anim=non]
